מוצר	Shufersal	RamiLevy	Yohananof	KingStore	Ybitan	Victory	OsherAd	Keshet	TivTaam	HaShuk
אבטיח	7290000965031	7290000000169	7290000000601	777082	1543	2004	7290000999951	152	4412906	506
מלון	7290000965055	7290000000140	7290000000696	777085	1518	2029	7290000999950	30	4412807	540
מלפפון	7290000000046	7290000000101	7290000000695	777004	1502	2028	7290000999903	4	4412814	645
דלעת	7296073342496	7290000000166	7290018024409	777044	1560	2015	7290000999918	NULL	4412876	620
דלורית	7290000000732	7290000000141	7290000000625	777045	1613	2016	7290000999834	NULL	4412913	622
קישוא	7290000961569	7290000000107	7290000000755	777033	1510	2048	7290000999912	16	4412715	685
זוקיני	7290000000824	7290000000420	7290000000473	777035	1632	2144	7290000999899	178	4412999	735
עגבניה	7290000000022	7290000000100	7290000000725	777001	1501	2036	7290000999901	25	4412784	660
פלפל אדום	7290000000091	7290000000104	7290000000742	777027	1516	2061	7290000999906	26	619	NULL
פלפל כתום	7290000961552	7290000000307	7290000000648	777030	1500	2113	7290000999956	28	NULL	716
פלפל חריף	7296073440567	7290000000132	7290000000739	777031	1515	2041	7290000999908	25	4412746	663
חציל	7290000000114	7290000000106	7290000000661	777023	1511	2021	7290000999913	20	4412869	625
תפוד לבן	7290000001715	7290000000111	7290000000785	777008	1550	2058	7290000999925	104	4412678	700
תפוד אדום	7290000001692	7290000000300	7290000000661	777011	1535	2120	7290000999926	105	4412227	7290018825006
בטטה	7290000970035	7290000000138	7290000000622	777043	1574	2007	7290000999917	102	4412319	612
גזר	7290000000121	7290000000102	7290000000635	777017	1503	7290000654973	7290000999914	6	4412883	7290017586007
כרוב לבן	7290000000138	7290000000109	7290000000681	777019	1505	2024	7290000999909	8	4412852	630
כרוב אדום	7290000000145	7290000000110	7290000000682	777020	1506	2064	7290000999910	12	4412845	633
ברוקולי	7290000978949	7290000000163	693493028905	7290016057072	1840	2132	7290000999833	103	678	880
כרובית	7290000000176	7290004505028	7290016270273	777182	1507	2025	7290000999911	13	4412838	635
חסה ערבית	7290005576812	7290000000123	7290000000660	777054	1522	2020	7290000999921	NULL	7290000000608	7290016334494
חסה עגולה	7290000000299	7290000000254	7290000000662	7290016334500	NULL	2019	7290000999922	37	7290000000669	7290011276485
כרישה	7290000982939	7290000000171	693493028912	7290016334166	7290016334166	7290010051267	7290000999831	7290017487434	4412135	7290016334166
בצל ירוק	7290000000466	7290000000131	7290010051557	7290016334616	7290003706167	7290010051335	7290000999935	34	7290000000603	7290016334616
בצל יבש	7290000000480	7290000000108	7290000000620	777013	1519	2010	7290000999919	31	602	605
בצל אדום	7290000001036	7290000000289	7290000000619	777014	1615	2072	7290000999920	33	4412500	606
ראש שום	7290000000411	7290000000133	7290000000411	777064	1545	7290017291123	7290000999924	97	7290000000632	689
תירס	7296073288756	7290000000848	7290000000789	777066	1588	2060	7290000999936	101	7290000000636	698
פטריות שמפיניון	7290000000374	7290000000374	7290000000374	777152	3560071348007	2038	7290017504001	7290000000374	7290006960320	7290006265500
פטרוזיליה	7290000000510	7290000000125	7290010051502	777156	1527	7290017291123	7290018443330	7290017487601	7290000995939	603
כוסברה	7290000000558	7290000000126	7290010051519	777157	1528	7290010051168	7290018443323	7290017487618	7290000995953	643
תפוז	7290000964508	7290000000122	7290000000797	777115	1552	2059	7290000999988	119	4412432	575
לימון	7290000964492	7290000000117	7290000000691	777123	1551	2027	7290000999953	125	4412586	535
קלמנטינה	7290000964560	7290000000121	NULL	777118	NULL	NULL	7290000999819	126	4412340	560
בננה	7290000964775	7290000000134	7290000000623	777104	1556	2009	7290000999949	110	4412616	530
מנגו	7290000966434	7290000000118	7290000000701	777105	1573	2088	7290000999954	118	4412579	543
אבוקדו	7290000964980	7290000000135	7290000000606	777039	1572	2003	7290000999957	129	4412647	505
תפוח סמיט (ירוק)	7290000963518	7290000000116	7290000000788	NULL	1564	2033	7290000999943	61	4412470	583
תפוח אדום	7290000963372	7290000000149	7290000000787	777311	1563	2034	7290000999944	107	4412456	585
שזיף אדום	7290000965345	7290000000187	NULL	777099	7290000011593	2099	7290000999947	113	4412487	566
משמש	7290000965116	7290000000184	7290000000609	777093	1567	2098	7290000999992	136	4412562	544
נקטרינה	7290000987392	7290000000182	7290000000705	777091	1583	2080	7290000999948	117	4412555	545
אפרסק	7290000964041	7290000000183	7290000000607	777089	1566	2091	7290000999826	116	220	507
